[Tick #0] Attacker: [DIR: 3; POS: 54,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #291] Attacker: [DIR: 3; POS: 41,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #292] Attacker: [DIR: 3; POS: 40,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #293] Attacker: [DIR: 3; POS: 39,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #294] Attacker: [DIR: 3; POS: 38,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #295] Attacker: [DIR: 3; POS: 37,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #296] Attacker: [DIR: 3; POS: 36,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #297] Attacker: [DIR: 3; POS: 35,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #298] Attacker: [DIR: 3; POS: 34,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #299] Attacker: [DIR: 3; POS: 33,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #300] Attacker: [DIR: 3; POS: 32,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #301] Attacker: [DIR: 3; POS: 31,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #302] Attacker: [DIR: 3; POS: 30,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #303] Attacker: [DIR: 3; POS: 29,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #304] Attacker: [DIR: 3; POS: 28,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #305] Attacker: [DIR: 3; POS: 27,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #306] Attacker: [DIR: 3; POS: 26,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #307] Attacker: [DIR: 3; POS: 25,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #308] Attacker: [DIR: 3; POS: 24,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #309] Attacker: [DIR: 3; POS: 23,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #310] Attacker: [DIR: 3; POS: 22,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #311] Attacker: [DIR: 3; POS: 21,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #312] Attacker: [DIR: 3; POS: 20,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #313] Attacker: [DIR: 3; POS: 19,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #314] Attacker: [DIR: 3; POS: 18,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #315] Attacker: [DIR: 3; POS: 17,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #316] Attacker: [DIR: 3; POS: 16,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #317] Attacker: [DIR: 3; POS: 15,92]; Defender #0: [DIR: 3; POS: 54,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #318] Attacker: [DIR: 3; POS: 14,92]; Defender #0: [DIR: 3; POS: 53,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #319] Attacker: [DIR: 3; POS: 13,92]; Defender #0: [DIR: 3; POS: 52,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #320] Attacker: [DIR: 3; POS: 12,92]; Defender #0: [DIR: 3; POS: 51,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #321] Attacker: [DIR: 3; POS: 11,92]; Defender #0: [DIR: 3; POS: 50,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #322] Attacker: [DIR: 3; POS: 10,92]; Defender #0: [DIR: 3; POS: 49,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #323] Attacker: [DIR: 3; POS: 9,92]; Defender #0: [DIR: 3; POS: 48,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #324] Attacker: [DIR: 3; POS: 8,92]; Defender #0: [DIR: 3; POS: 47,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #325] Attacker: [DIR: 3; POS: 7,92]; Defender #0: [DIR: 3; POS: 46,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #326] Attacker: [DIR: 3; POS: 6,92]; Defender #0: [DIR: 3; POS: 45,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #327] Attacker: [DIR: 3; POS: 5,92]; Defender #0: [DIR: 3; POS: 44,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #328] Attacker: [DIR: 2; POS: 4,92]; Defender #0: [DIR: 3; POS: 43,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #329] Attacker: [DIR: 2; POS: 4,93]; Defender #0: [DIR: 3; POS: 42,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #330] Attacker: [DIR: 2; POS: 4,94]; Defender #0: [DIR: 3; POS: 41,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #331] Attacker: [DIR: 2; POS: 4,95]; Defender #0: [DIR: 3; POS: 40,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #332] Attacker: [DIR: 2; POS: 4,96]; Defender #0: [DIR: 3; POS: 39,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #333] Attacker: [DIR: 2; POS: 4,97]; Defender #0: [DIR: 3; POS: 38,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #334] Attacker: [DIR: 2; POS: 4,98]; Defender #0: [DIR: 3; POS: 37,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #335] Attacker: [DIR: 2; POS: 4,99]; Defender #0: [DIR: 3; POS: 36,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #336] Attacker: [DIR: 2; POS: 4,100]; Defender #0: [DIR: 3; POS: 35,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #337] Attacker: [DIR: 2; POS: 4,101]; Defender #0: [DIR: 3; POS: 34,44]; Defender #1: [DIR: 1; POS: 54,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #338] Attacker: [DIR: 2; POS: 4,102]; Defender #0: [DIR: 3; POS: 33,44]; Defender #1: [DIR: 1; POS: 55,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #339] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 3; POS: 32,44]; Defender #1: [DIR: 1; POS: 56,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #340] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 3; POS: 31,44]; Defender #1: [DIR: 1; POS: 57,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #341] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 3; POS: 30,44]; Defender #1: [DIR: 1; POS: 58,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #342] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 3; POS: 29,44]; Defender #1: [DIR: 1; POS: 59,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #343] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 3; POS: 28,44]; Defender #1: [DIR: 1; POS: 60,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #344] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 3; POS: 27,44]; Defender #1: [DIR: 1; POS: 61,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #345] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 3; POS: 26,44]; Defender #1: [DIR: 1; POS: 62,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #346] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 3; POS: 25,44]; Defender #1: [DIR: 1; POS: 63,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #347] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 3; POS: 24,44]; Defender #1: [DIR: 1; POS: 64,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #348] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 3; POS: 23,44]; Defender #1: [DIR: 1; POS: 65,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #349] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 3; POS: 22,44]; Defender #1: [DIR: 1; POS: 66,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #350] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 3; POS: 21,44]; Defender #1: [DIR: 1; POS: 67,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #351] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 3; POS: 20,44]; Defender #1: [DIR: 1; POS: 68,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #352] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 3; POS: 19,44]; Defender #1: [DIR: 1; POS: 69,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #353] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 3; POS: 18,44]; Defender #1: [DIR: 1; POS: 70,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #354] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 3; POS: 17,44]; Defender #1: [DIR: 1; POS: 71,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #355] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 3; POS: 16,44]; Defender #1: [DIR: 1; POS: 72,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #356] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 3; POS: 15,44]; Defender #1: [DIR: 1; POS: 73,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #357] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 3; POS: 14,44]; Defender #1: [DIR: 1; POS: 74,44]; Defender #2: [DIR: 3; POS: 54,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #358] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 3; POS: 13,44]; Defender #1: [DIR: 1; POS: 75,44]; Defender #2: [DIR: 3; POS: 53,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #359] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 0; POS: 12,44]; Defender #1: [DIR: 1; POS: 76,44]; Defender #2: [DIR: 3; POS: 52,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #360] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 0; POS: 12,43]; Defender #1: [DIR: 1; POS: 77,44]; Defender #2: [DIR: 3; POS: 51,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #361] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 0; POS: 12,42]; Defender #1: [DIR: 1; POS: 78,44]; Defender #2: [DIR: 3; POS: 50,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #362] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 0; POS: 12,41]; Defender #1: [DIR: 1; POS: 79,44]; Defender #2: [DIR: 3; POS: 49,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #363] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 0; POS: 12,40]; Defender #1: [DIR: 1; POS: 80,44]; Defender #2: [DIR: 3; POS: 48,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #364] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 0; POS: 12,39]; Defender #1: [DIR: 1; POS: 81,44]; Defender #2: [DIR: 3; POS: 47,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #365] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 0; POS: 12,38]; Defender #1: [DIR: 1; POS: 82,44]; Defender #2: [DIR: 3; POS: 46,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #366] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 0; POS: 12,37]; Defender #1: [DIR: 1; POS: 83,44]; Defender #2: [DIR: 3; POS: 45,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #367] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 0; POS: 12,36]; Defender #1: [DIR: 1; POS: 84,44]; Defender #2: [DIR: 3; POS: 44,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #368] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 0; POS: 12,35]; Defender #1: [DIR: 1; POS: 85,44]; Defender #2: [DIR: 3; POS: 43,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #369] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 0; POS: 12,34]; Defender #1: [DIR: 1; POS: 86,44]; Defender #2: [DIR: 3; POS: 42,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #370] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 0; POS: 12,33]; Defender #1: [DIR: 1; POS: 87,44]; Defender #2: [DIR: 3; POS: 41,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #371] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 3; POS: 12,32]; Defender #1: [DIR: 1; POS: 88,44]; Defender #2: [DIR: 3; POS: 40,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #372] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 3; POS: 11,32]; Defender #1: [DIR: 1; POS: 89,44]; Defender #2: [DIR: 3; POS: 39,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #373] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 3; POS: 10,32]; Defender #1: [DIR: 1; POS: 90,44]; Defender #2: [DIR: 3; POS: 38,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #374] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 3; POS: 9,32]; Defender #1: [DIR: 1; POS: 91,44]; Defender #2: [DIR: 3; POS: 37,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #375] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 3; POS: 8,32]; Defender #1: [DIR: 1; POS: 92,44]; Defender #2: [DIR: 2; POS: 36,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #376] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 3; POS: 7,32]; Defender #1: [DIR: 1; POS: 93,44]; Defender #2: [DIR: 2; POS: 36,45]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #377] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 3; POS: 6,32]; Defender #1: [DIR: 1; POS: 94,44]; Defender #2: [DIR: 2; POS: 36,46]; Defender #3: [DIR: 1; POS: 54,44]; 
[Tick #378] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 3; POS: 5,32]; Defender #1: [DIR: 1; POS: 95,44]; Defender #2: [DIR: 2; POS: 36,47]; Defender #3: [DIR: 1; POS: 55,44]; 
[Tick #379] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 3; POS: 4,32]; Defender #1: [DIR: 2; POS: 96,44]; Defender #2: [DIR: 2; POS: 36,48]; Defender #3: [DIR: 1; POS: 56,44]; 
[Tick #380] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 3; POS: 3,32]; Defender #1: [DIR: 2; POS: 96,45]; Defender #2: [DIR: 2; POS: 36,49]; Defender #3: [DIR: 1; POS: 57,44]; 
[Tick #381] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 3; POS: 2,32]; Defender #1: [DIR: 2; POS: 96,46]; Defender #2: [DIR: 2; POS: 36,50]; Defender #3: [DIR: 1; POS: 58,44]; 
[Tick #382] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 3; POS: 1,32]; Defender #1: [DIR: 2; POS: 96,47]; Defender #2: [DIR: 2; POS: 36,51]; Defender #3: [DIR: 1; POS: 59,44]; 
[Tick #383] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 3; POS: 0,32]; Defender #1: [DIR: 2; POS: 96,48]; Defender #2: [DIR: 2; POS: 36,52]; Defender #3: [DIR: 1; POS: 60,44]; 
[Tick #384] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 3; POS: 108,32]; Defender #1: [DIR: 2; POS: 96,49]; Defender #2: [DIR: 2; POS: 36,53]; Defender #3: [DIR: 1; POS: 61,44]; 
[Tick #385] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 3; POS: 107,32]; Defender #1: [DIR: 2; POS: 96,50]; Defender #2: [DIR: 2; POS: 36,54]; Defender #3: [DIR: 1; POS: 62,44]; 
[Tick #386] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 3; POS: 106,32]; Defender #1: [DIR: 2; POS: 96,51]; Defender #2: [DIR: 2; POS: 36,55]; Defender #3: [DIR: 1; POS: 63,44]; 
[Tick #387] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 3; POS: 105,32]; Defender #1: [DIR: 2; POS: 96,52]; Defender #2: [DIR: 3; POS: 36,56]; Defender #3: [DIR: 1; POS: 64,44]; 
[Tick #388] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 3; POS: 104,32]; Defender #1: [DIR: 2; POS: 96,53]; Defender #2: [DIR: 3; POS: 35,56]; Defender #3: [DIR: 1; POS: 65,44]; 
[Tick #389] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 3; POS: 103,32]; Defender #1: [DIR: 2; POS: 96,54]; Defender #2: [DIR: 3; POS: 34,56]; Defender #3: [DIR: 1; POS: 66,44]; 
[Tick #390] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 3; POS: 102,32]; Defender #1: [DIR: 2; POS: 96,55]; Defender #2: [DIR: 3; POS: 33,56]; Defender #3: [DIR: 1; POS: 67,44]; 
[Tick #391] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 3; POS: 101,32]; Defender #1: [DIR: 2; POS: 96,56]; Defender #2: [DIR: 3; POS: 32,56]; Defender #3: [DIR: 1; POS: 68,44]; 
[Tick #392] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 3; POS: 100,32]; Defender #1: [DIR: 2; POS: 96,57]; Defender #2: [DIR: 3; POS: 31,56]; Defender #3: [DIR: 1; POS: 69,44]; 
[Tick #393] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 3; POS: 99,32]; Defender #1: [DIR: 2; POS: 96,58]; Defender #2: [DIR: 3; POS: 30,56]; Defender #3: [DIR: 1; POS: 70,44]; 
[Tick #394] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 3; POS: 98,32]; Defender #1: [DIR: 2; POS: 96,59]; Defender #2: [DIR: 3; POS: 29,56]; Defender #3: [DIR: 1; POS: 71,44]; 
[Tick #395] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 3; POS: 97,32]; Defender #1: [DIR: 2; POS: 96,60]; Defender #2: [DIR: 3; POS: 28,56]; Defender #3: [DIR: 1; POS: 72,44]; 
[Tick #396] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 0; POS: 96,32]; Defender #1: [DIR: 2; POS: 96,61]; Defender #2: [DIR: 3; POS: 27,56]; Defender #3: [DIR: 1; POS: 73,44]; 
[Tick #397] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 0; POS: 96,31]; Defender #1: [DIR: 2; POS: 96,62]; Defender #2: [DIR: 3; POS: 26,56]; Defender #3: [DIR: 1; POS: 74,44]; 
[Tick #398] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 0; POS: 96,30]; Defender #1: [DIR: 2; POS: 96,63]; Defender #2: [DIR: 3; POS: 25,56]; Defender #3: [DIR: 1; POS: 75,44]; 
[Tick #399] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 0; POS: 96,29]; Defender #1: [DIR: 2; POS: 96,64]; Defender #2: [DIR: 2; POS: 24,56]; Defender #3: [DIR: 1; POS: 76,44]; 
[Tick #400] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 0; POS: 96,28]; Defender #1: [DIR: 2; POS: 96,65]; Defender #2: [DIR: 2; POS: 24,57]; Defender #3: [DIR: 1; POS: 77,44]; 
[Tick #401] Attacker: [DIR: 2; POS: 4,103]; Defender #0: [DIR: 0; POS: 96,27]; Defender #1: [DIR: 2; POS: 96,66]; Defender #2: [DIR: 2; POS: 24,58]; Defender #3: [DIR: 1; POS: 78,44]; 
[Tick #402] Attacker: [DIR: 0; POS: 4,104]; Defender #0: [DIR: 0; POS: 96,26]; Defender #1: [DIR: 2; POS: 96,67]; Defender #2: [DIR: 2; POS: 24,59]; Defender #3: [DIR: 1; POS: 79,44]; 
